2 1.472028 
3 2.190021 
4 2.905303 
5 3.612387 
6 4.302342 
7 4.969226 
8 5.654257 
9 6.516568 
10 7.232438 
11 7.903143 
12 8.610721 
13 9.252111 
14 9.941672 
15 10.638003 
16 11.176685 
17 11.900698 
18 12.502037 
19 13.133562 
20 13.964497 
21 14.505910 
22 15.165596 
23 15.888141 
24 16.172905 
25 16.997230 
26 17.284507 
27 17.806152 
28 18.639125 
29 19.079602 
30 19.479365 
31 19.430019 
32 20.131234 
33 20.701754 
34 20.729730 
35 21.898644 
36 21.261261 
37 21.914286 
38 22.625369 
39 23.491577 
40 21.202488 
41 23.581860 
42 23.727765 
43 23.366337 
44 24.100550 
45 25.460581 
46 25.545379 
47 25.912162 
48 25.418393 
49 26.841645 
50 26.983289 
51 26.724739 
52 26.865149 
53 28.354898 
54 27.865577 
55 27.441860 
56 28.433735 
57 27.565139 
58 28.566108 
59 27.890909 
60 29.025544 
61 29.642512 
62 30.078431 
63 28.970727 
64 29.728682 
