1 - - 1516 872
2 55463 55463
3 32542 32542
4 25607 25607
5 18778 18778
6 15235 15235
7 12986 12986
8 13066 13066
9 7075 7075
10 4964 4964
11 4783 4783
12 3200 3200
13 3520 3520
14 3076 3076
15 2474 2474
16 2601 2601
17 2438 2438
18 2080 2080
19 2199 2199
20 2111 2111
21 1705 1705
22 1746 1746
23 2226 2226
24 1872 1872
25 1868 1868
26 1849 1849
27 1487 1487
28 1559 1559
29 1766 1766
30 1677 1677
31 1317 1317
32 1516 1516
33 1408 1408
34 1317 1317
35 1066 1066
36 1094 1094
37 1379 1379
38 1062 1062
39 1041 1041
40 995 995
41 777 777
42 1346 1346
43 1027 1027
44 837 837
45 920 920
46 682 682
47 763 763
48 1004 1004
49 725 725
50 944 944
51 726 726
52 829 829
53 839 839
54 1008 1008
55 852 852
56 943 943
57 801 801
58 653 653
59 914 914
60 707 707
61 908 908
62 841 841
63 1076 1076
64 872 872
