1 - - 11054 6319
2 197095 197095
3 131345 131345
4 99423 99423
5 78814 78814
6 67522 67522
7 56456 56456
8 51165 51165
9 46820 46820
10 39708 39708
11 37371 37371
12 33867 33867
13 33189 33189
14 31214 31214
15 27371 27371
16 27025 27025
17 26483 26483
18 23979 23979
19 22584 22584
20 21044 21044
21 17726 17726
22 16401 16401
23 16100 16100
24 13517 13517
25 13919 13919
26 14035 14035
27 12670 12670
28 12563 12563
29 12467 12467
30 10925 10925
31 11942 11942
32 11054 11054
33 10994 10994
34 10000 10000
35 10481 10481
36 10011 10011
37 8110 8110
38 8791 8791
39 9337 9337
40 8450 8450
41 9249 9249
42 8531 8531
43 7658 7658
44 7963 7963
45 7703 7703
46 7893 7893
47 7891 7891
48 7719 7719
49 7175 7175
50 7080 7080
51 7423 7423
52 7753 7753
53 6751 6751
54 7232 7232
55 6797 6797
56 6622 6622
57 7079 7079
58 6725 6725
59 6949 6949
60 6256 6256
61 6094 6094
62 6030 6030
63 6228 6228
64 6319 6319
