1 - - 4352484 5187871
2 - -
3 - -
4 - -
5 - -
6 - -
7 - -
8 - -
9 - -
10 - -
11 - -
12 - -
13 - -
14 - -
15 - -
16 12017556 12017556
17 - -
18 - -
19 - -
20 - -
21 - -
22 - -
23 - -
24 6669631 6669631
25 - -
26 - -
27 - -
28 - -
29 - -
30 - -
31 - -
32 4352484 4352484
33 - -
34 - -
35 - -
36 - -
37 - -
38 - -
39 - -
40 6374983 6374983
41 - -
42 - -
43 - -
44 - -
45 - -
46 - -
47 - -
48 5570574 5570574
49 - -
50 - -
51 - -
52 - -
53 - -
54 - -
55 - -
56 3345224 3345224
57 - -
58 - -
59 - -
60 - -
61 - -
62 3901796 3901796
63 4646332 4646332
64 5187871 5187871
