1 - - 4806 2822
2 111717 111717
3 74780 74780
4 53901 53901
5 41302 41302
6 34635 34635
7 27384 27384
8 24451 24451
9 23110 23110
10 21114 21114
11 16365 16365
12 15928 15928
13 15216 15216
14 10568 10568
15 7936 7936
16 9235 9235
17 8194 8194
18 8790 8790
19 8029 8029
20 6810 6810
21 6432 6432
22 7137 7137
23 5277 5277
24 5191 5191
25 5741 5741
26 4541 4541
27 4787 4787
28 4514 4514
29 3854 3854
30 4957 4957
31 3911 3911
32 4806 4806
33 3908 3908
34 4554 4554
35 3974 3974
36 3470 3470
37 3435 3435
38 4208 4208
39 2391 2391
40 3490 3490
41 3147 3147
42 2970 2970
43 3046 3046
44 3231 3231
45 2541 2541
46 3204 3204
47 3235 3235
48 3251 3251
49 2737 2737
50 3442 3442
51 2902 2902
52 2609 2609
53 3397 3397
54 2290 2290
55 2881 2881
56 2252 2252
57 3149 3149
58 2741 2741
59 3083 3083
60 2009 2009
61 2894 2894
62 1871 1871
63 1988 1988
64 2822 2822
